Status,Station Name,Observation Date,Latitude,Longitude,Has Media,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site,Start Time,End Time,Was this observation completed in person or by listening to an audio device?,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes
,Foxfire Fire Pond 3,2025-08-26,41.07343,-81.77464,No,Wadsworth,Medina,Ohio,Suburban,Pond,Human-made,Permanent,Precipitation or Runoff,"Fire pond  in 2 acre lot housing development, but established perhaps 10 years ago. Formerly farm field.  Substanial cover surrounding pond and owner says no intention of changing that.","Boneta Rd left to Ridgetop Rd, then right onto Foxfire RD ",10:57 PM,11:00 PM,In person,11.1,,Fog or Mist,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,"db:34-37.  Aerator was running. Also, little tiny bit mist/rain falling-- pi prick drops, no accumulation. "
,Foxfire Fire Pond 3,2025-08-13,41.07343,-81.77464,No,Wadsworth,Medina,Ohio,Suburban,Pond,Human-made,Permanent,Precipitation or Runoff,"Fire pond  in 2 acre lot housing development, but established perhaps 10 years ago. Formerly farm field.  Substanial cover surrounding pond and owner says no intention of changing that.","Boneta Rd left to Ridgetop Rd, then right onto Foxfire RD ",09:49 PM,09:52 PM,In person,22.8,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,db:38-46
,Ridge Top Fire Pond,2025-08-26,41.075708,-81.773062,No,Wadsworth,Medina,Ohio,Rural,Pond,Human-made,Permanent,Precipitation or Runoff,"Fire pond in large plot housing development that is bordered by a farm to the north, a small woods to the west north west and currently undeveloped lots to the west. Homes to the south",Walk off of Ridge Top road about 20 paces  north of the west end of the pond.,10:49 PM,10:52 PM,In person,11.1,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,db:27-37
,Ridge Top Fire Pond,2025-08-13,41.075708,-81.773062,No,Wadsworth,Medina,Ohio,Rural,Pond,Human-made,Permanent,Precipitation or Runoff,"Fire pond in large plot housing development that is bordered by a farm to the north, a small woods to the west north west and currently undeveloped lots to the west. Homes to the south",Walk off of Ridge Top road about 20 paces  north of the west end of the pond.,09:41 PM,09:44 PM,In person,22.8,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,Heard literally 1 GF call in 3 minutes. db36-42
,MCPD Chippewa Lake Paddlecraft Launch 01,2025-08-26,41.05128,-81.89987,No,Seville,Medina,Ohio,Rural,Freshwater Marsh,Human-made,Not Known,Precipitation or Runoff,Human-made wetland at the Chippewa Lake Paddlecraft Launch.  **Only open from May-October annually.,"From the paddlecraft parking, follow the short path to the west.  When the path approaches the launch, turn to the North/Northwest to listen across the human-made wetland.  **Only open May-October annually.",10:23 PM,10:26 PM,In person,11.1,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,db: 33-41
,MCPD River Styx Pond 01,2025-08-26,41.04777,-81.79743,No,Wadsworth,Medina,Ohio,Park,Pond,Artificially Altered,Permanent,Stream or River,Medina County Park Distric River Styx Park,"Park in lot and follow yellow, alll purpose trail to the Fishing Access",10:00 PM,10:03 PM,In person,11.1,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,db: 40-51
,MCPD Mugrage Pond 01,2025-08-26,41.13879,-81.78109,No,Medina,Medina,Ohio,,,,,,,,09:37 PM,09:40 PM,In person,12.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,db: 45-51.  Didn't even hear a call from the forebay
,MCPD Mugrage Forebay 01,2025-08-26,41.14,-81.78,No,Medina,Medina,Ohio,,,,,,,,09:32 PM,09:35 PM,In person,12.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,1 green frog who called twice in the 3 minutes and once before .  db:49-56
,MCPD Mugrage Vernal Pool 01,2025-08-26,41.140401,-81.780282,No,Medina,Medina,Ohio,Park District,Vernal Pool,Not Known,Temporary Some Years,Not Known,Woodland Vernal Pool located in Wet Woods/Woodland Swamp-type habitat.,"Walk the yellow trail from the playground parking lot, in between the pond and forebay, follow the trail into the woods past the Nature Trail, until the path bends left.  Stop to listen to the East, where the vernal pool comes quite close to the trail.",09:26 PM,09:29 PM,In person,12.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,db: 42-49
,MCPD Sharon Nature Preserve 01 ,2025-08-26,41.09176,-81.72373,No,Sharon Center,Medina,Ohio,Rural,Vernal Pool,Not Known,Not Known,Not Known,This site observes the woodland vernal pools from the main loop trail.,"Follow the Gravel Trail (orange diamond) straight, or West, from the parking lot.  At the fork turn left, or South.  Just after a large 90 degree turn to the west in the path, there will be a second gentle curve back to the south.  Stop at the end of this gentle curve and turn to face the woods.",09:02 PM,09:05 PM,In person,12.8,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,DB: 33-38  Heard barred owl
,MCPD Allardale Park West 01,2025-08-25,41.19032,-81.69688,No,Granger Township,Medina,Ohio,Suburban,Wet Meadow,Natural,Temporary Some Years,Stream or River,Wet Meadow in Allard Creek Floodplain,Park in the Allardale Park (West) Parking Lot.  From the North end of the lot turn right or East to walk down the paved hill.  Stop at the bottom of the hill before the trail turns left.,08:59 PM,09:02 PM,In person,13.9,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,Some insects but no frogs
,MCPD Allardale Park West 02,2025-08-25,41.1909,-81.69913,No,Granger Township,Medina,Ohio,Suburban,Ditch,Not Known,Temporary Every Year,Precipitation or Runoff,Ephemeral Stream and/or Ditch through small forested section of park between fields.,Park in the Allardale Park (West) Parking Lot.  From the North end of the lot turn left or West to walk down the paved path to the first fork which heads towards the picnic pavilion.  Continue on the main trail past the pavilion and stop on the center of the bridge.,08:48 PM,08:51 PM,In person,13.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,"Lots of insects, but no frogs"
,MCPD Granger Wetlands 02,2025-08-24,41.16298,-81.73552,No,Granger Township,Medina,Ohio,Suburban,Ditch,Not Known,Permanent,Stream or River,"This is a large, established pool within a stream on the edge of a wetland complex that feeds into the Granger Ditch.",Park in the original grass/mowed lot on the south end of the property on Beachler Road.  Walk to the Eastern edge of the mowed lot (if necessary) and listen towards the East where a pool is tucked into the stream running through the tree line. ,08:44 PM,08:47 PM,In person,17.8,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,"Lots of insect sounds, but no frogs or toads."
,CUVA: Beaver Marsh,2025-08-24,41.187918,-81.579789,No,Peninsula,Summit,Ohio,Rural,Freshwater Marsh,Formed by a Beaver Dam,Permanent,Precipitation or Runoff,,,08:50 PM,08:53 PM,In person,17.8,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog (Subspecies - Northern),1 - Individuals can be counted; there is space between calls,
,CUVA: Beaver Marsh,2025-08-24,41.187918,-81.579789,No,Peninsula,Summit,Ohio,Rural,Freshwater Marsh,Formed by a Beaver Dam,Permanent,Precipitation or Runoff,,,08:50 PM,08:53 PM,In person,17.8,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,CUVA: Beaver Marsh,2025-08-22,41.187918,-81.579789,No,Peninsula,Summit,Ohio,Rural,Freshwater Marsh,Formed by a Beaver Dam,Permanent,Precipitation or Runoff,,,08:55 PM,08:58 PM,In person,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,CUVA: Station Road 853,2025-08-23,41.319481,-81.586657,No,Brecksville,Cuyahoga,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,"Wetland Southeast of Station Road Bridge, between the Canal and the River. CUVA monitored site.","Park at Station Road Parking lot, cross over bridge.  Wetland is to the right. Take a right on the towpath if you want to view the wetland from another perspective.",08:47 PM,08:50 PM,In person,20.6,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,CUVA: Krejci Remediation (1622-1629),2025-08-23,41.264381,-81.53804,No,Boston Heights,Summit,Ohio,Rural,,Human-made,Temporary Every Year,Precipitation or Runoff,Old Krejci Dump,Park Roadside on Hines Hill,09:00 PM,09:03 PM,In person,20,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Green Leaf Pond,2025-08-23,41.091922,-81.689388,No,Wadsworth,Medina,Ohio,Park,Pond,Human-made,Permanent,Not Known,Medina County Park District Green Leaf Park. Land was a gravel pit prior to 1970s,Park in the North parking lot. Walk West across the field to the trail. Pond is obvious from trail.,09:10 PM,09:13 PM,In person,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Green Leaf Wetland 02,2025-08-23,41.091753,-81.689919,No,Wadsworth,Medina,Ohio,Park,Swamp or Woodland Swamp,Not Known,Not Known,Not Known,,South of the Pond,09:04 PM,09:07 PM,In person,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Green Leaf Wetland,2025-08-23,41.090833,-81.690278,No,Wadsworth,Medina,Ohio,Park ,Swamp or Woodland Swamp,Natural,Permanent,Not Known,Medina County Park District Green Leaf Park,"Park in the South parking lot. Take the trail that is lined with a stone wall. Take a left at the fork. The wetland is a few paces down on your right. There is a wood duck box that can serve as a marker as of March 6, 2016.",08:56 PM,08:59 PM,In person,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Plum Creek South Pond ,2025-08-22,41.207563,-81.808682,No,Brunswick,Medina,Ohio,Suburban,Pond,Not Known,Permanent,Pond,Medina County Park District Plum Creek South,"Medina County Park District Plum Creek South parking lot, take trail",09:30 PM,09:33 PM,In person,20.6,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Plum Creek South Vernal Pool,2025-08-22,41.20703,-81.81051,No,Brunswick,Medina,Ohio,Suburban,Vernal Pool,Human-made,Temporary Some Years,Precipitation or Runoff,Medina County Park District man-made vernal pool at Plum Creek Park South. ,"From the South Pond, take the connector trail to the Blue and Red trails.  At the fork, take the trails (Red and Blue) to the left.  The vernal pool will be a short walk down on the left.  The vernal pool is not visible from the trail but it is hidden behind a large earthen mound which is easily visible from the trail.",09:20 PM,09:23 PM,In person,20.6,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Buckeye Woods 02 ,2025-08-22,41.10114,-81.91975,No,Medina,Medina,Ohio,Rural,Ditch,Human-made,Not Known,Not Known,This site is probably best described as a trail-side ditch but has very marsh-like tendencies and can be found near the connection of the ball field connector trail and the Chippewa Inlet Trail near the Schleman Nature Preserve bridge.,Park near the BWP ball fields and take the connector trail roughly three quarters of the way to the CIT.  Turn right or north once you've reached roughly the middle of the emergent vegetation.,09:00 PM,09:03 PM,In person,21.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Buckeye Woods Vernal Pool 02,2025-08-22,41.10627,-81.91869,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Not Known,Permanent,Not Known,"Larger vernal pool to the north, on east side of trail across from bench and just after trail intersection","Park at the Buckeye Woods Park Ballfields, take the connector trail to the Chippewa Inlet Trail and turn right or north onto the trail for roughly 0.4 miles.  Continue down the trail past the vernal pool themed interpretive panel and find a bench on the left (west) side of the trail and a vernal pool directly across on the right (east) side of the trail.  Survey the pool from this point.",08:50 PM,08:53 PM,In person,21.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Buckeye Woods Vernal Pool 01,2025-08-22,41.10609,-81.91876,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Not Known,Not Known,Not Known,Vernal Pool directly behind vernal pool interpretive panel,"Park at the Buckeye Woods Park Ballfields, take the connector trail to the Chippewa Inlet Trail and turn right or north onto the trail for roughly 0.4 miles.  Find the vernal pool themed interpretive panel and survey the pool directly behind this sign. ",08:45 PM,08:48 PM,In person,21.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,CUVA: Pleasant Valley East (969),2025-08-21,41.359086,-81.604346,No,Brecksville,Cuyahoga,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Temporary Some Years,Precipitation or Runoff,,,09:18 PM,09:21 PM,In person,18.3,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
